Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\6th Gear Cruise.csv
Number of frames 1304
Length: 0:01:03.250s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
10,468,0,2846,65.8655,6,-0.6,-11.4,-29.9,-29.9,19,17,2.36,0,28.36,298,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.30,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.66,0.00,14.66,0.00,10.00,14.47,0.00,-9,-1,0,0,-10,2,0,0,0,26,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.7657,64.5233,64.2810,64.2437,0,0.00,0,0,0.00,.0000,0.00,0.0,28.7,1.396,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
11,625,0,2830,65.2441,6,-0.6,-11.2,-29.9,-29.9,19,17,2.36,0,28.36,300,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.22,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.45,0.00,14.45,0.00,10.00,14.69,0.00,-10,-1,0,0,-11,2,0,0,0,29,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.5420,64.3742,64.2127,64.3245,0,0.00,0,0,0.00,.0000,0.00,0.0,28.9,1.397,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
12,671,0,2844,65.8655,6,-0.6,-11.3,-29.9,-29.9,19,17,2.34,0,27.79,293,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.02,0.00,11,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.45,0.00,14.45,0.00,10.00,14.66,0.00,-10,-1,0,0,-11,2,0,0,0,16,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.7222,64.4612,64.2375,64.2810,0,0.00,0,0,0.00,.0000,0.00,0.0,28.9,1.397,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
13,718,0,2836,65.8655,6,-0.6,-11.4,-29.9,-29.9,19,17,2.36,0,28.54,301,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.18,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.56,0.00,14.56,0.00,10.00,14.61,0.00,-10,-1,0,0,-11,2,0,0,0,25,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.30,32.0,64.6973,64.4612,64.1505,64.2562,0,0.00,0,0,0.00,.0000,0.00,0.0,28.9,1.397,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
14,781,0,2839,65.8655,6,-0.6,-11.3,-29.9,-29.9,19,17,2.36,0,28.92,305,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.42,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.50,0.00,-10,-1,0,0,-11,2,0,0,0,38,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.6103,64.3307,64.1319,64.3245,0,0.00,0,0,0.00,.0000,0.00,0.0,28.9,1.397,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
15,828,0,2840,65.8655,6,-0.6,-11.3,-29.9,-29.9,19,17,2.36,0,28.73,303,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.40,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.84,0.00,14.84,0.00,10.00,14.35,0.00,-9,-1,0,0,-10,2,0,0,0,18,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.5793,64.4674,64.2375,64.3618,0,0.00,0,0,0.00,.0000,0.00,0.0,28.9,1.397,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
16,875,0,2843,65.8655,6,-0.6,-11.3,-29.9,-29.9,19,17,2.36,0,28.92,305,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.42,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.72,0.00,14.72,0.00,10.00,14.28,0.00,-9,-1,0,0,-10,2,0,0,0,44,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.7222,64.4985,64.2375,64.3245,0,0.00,0,0,0.00,.0000,0.00,0.0,28.9,1.397,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
17,921,0,2836,65.8655,6,-0.7,-11.3,-29.9,-29.9,19,17,2.36,0,28.36,300,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.27,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.45,0.00,14.45,0.00,10.00,14.58,0.00,-9,-1,0,0,-10,2,0,0,0,28,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.6725,64.4985,64.1319,64.2127,0,0.00,0,0,0.00,.0000,0.00,0.0,28.9,1.397,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
18,968,0,2835,65.8655,6,-0.6,-11.2,-29.9,-29.9,20,17,2.36,0,28.73,304,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.21,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.33,0.00,14.33,0.00,10.00,14.91,0.00,-10,-1,0,0,-11,2,0,0,0,19,0,0,0,0,0,96,17,7,6,1,0,0,0,0,14.20,32.0,64.6103,64.3494,64.2624,64.3059,0,0.00,0,0,0.00,.0000,0.00,0.0,28.9,1.397,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
19,1031,0,2836,65.8655,6,-0.6,-11.1,-29.9,-29.9,20,17,2.40,0,29.90,316,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.32,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.28,0.00,14.28,0.00,10.00,14.81,0.00,-10,-1,0,0,-11,2,0,0,0,31,0,0,0,0,0,96,17,7,6,1,0,0,0,0,14.20,32.0,64.6103,64.4798,64.2375,64.3431,0,0.00,0,0,0.00,.0000,0.00,0.0,28.9,1.397,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
