Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\3rd Gear Pull 3.csv
Number of frames 365
Length: 0:00:17.281s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
10,484,0,2860,20.5053,2,0.0,-21.5,-29.9,-29.9,8,9,1.80,0,11.97,125,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.45,0.00,5,0.00,0.00,0,44,4,4,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.72,0.00,14.72,0.00,10.00,14.93,0.00,-8,0,0,0,-9,2,0,0,0,9,0,0,0,0,0,67,40,1,1,0,0,0,0,0,14.20,32.0,20.1884,20.0952,20.0206,20.0393,0,0.00,0,0,0.00,.0000,0.00,0.0,22.3,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
11,656,0,2876,20.5053,2,-0.2,-21.8,-29.9,-29.9,8,9,1.80,0,11.87,123,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.39,0.00,5,0.00,0.00,0,43,4,4,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.68,0.00,14.68,0.00,10.00,14.91,0.00,-8,0,0,0,-9,2,0,0,0,13,0,0,0,0,0,67,41,1,1,0,0,0,0,0,14.20,32.0,20.0828,20.2443,20.3437,20.2008,0,0.00,0,0,0.00,.0000,0.00,0.0,22.3,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
12,703,0,2880,20.5053,2,0.0,-21.8,-29.9,-29.9,7,9,1.78,0,11.56,120,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.38,0.00,5,0.00,0.00,0,43,4,4,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.68,0.00,14.68,0.00,10.00,14.89,0.00,-8,0,0,0,-9,2,0,0,0,58,0,0,0,0,0,67,41,1,1,0,0,0,0,0,14.20,32.0,20.3189,20.2816,20.1635,20.3065,0,0.00,0,0,0.00,.0000,0.00,0.0,22.8,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
13,750,0,2889,20.5053,2,-0.2,-21.8,-29.9,-29.9,7,9,1.78,0,11.76,122,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.41,0.00,5,0.00,0.00,0,42,4,4,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.68,0.00,14.68,0.00,10.00,14.87,0.00,-8,0,0,0,-9,2,0,0,0,57,0,0,0,0,0,67,42,1,1,0,0,0,0,0,14.20,32.0,20.3810,20.3686,20.2568,20.3437,0,0.00,0,0,0.00,.0000,0.00,0.0,22.8,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
14,797,0,2894,20.5053,2,0.2,-22.0,-29.9,-29.9,6,9,1.78,0,11.46,118,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.34,0.00,5,0.00,0.00,0,42,4,3,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.72,0.00,14.72,0.00,10.00,14.87,0.00,-8,0,0,0,-9,2,0,0,0,49,0,0,0,0,0,67,42,1,1,0,0,0,0,0,14.20,32.0,20.3562,20.3810,20.1698,20.3500,0,0.00,0,0,0.00,.0000,0.00,0.0,22.8,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
15,844,0,2903,20.5053,2,-0.2,-21.9,-29.9,-29.9,6,9,1.76,0,11.35,117,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.32,0.00,5,0.00,0.00,0,42,3,3,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.76,0.00,14.76,0.00,10.00,14.90,0.00,-8,0,0,0,-9,2,0,0,0,17,0,0,0,0,0,67,42,1,1,0,0,0,0,0,14.20,32.0,20.3810,20.3251,20.3437,20.3810,0,0.00,0,0,0.00,.0000,0.00,0.0,22.8,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
16,890,0,2906,20.5053,2,0.0,-22.1,-29.9,-29.9,6,9,1.76,0,11.35,117,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.33,0.00,5,0.00,0.00,0,42,3,3,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.82,0.00,-8,0,0,0,-9,2,0,0,0,18,0,0,0,0,0,67,43,1,1,0,0,0,0,0,14.20,32.0,20.5177,20.4432,20.3251,20.4556,0,0.00,0,0,0.00,.0000,0.00,0.0,22.8,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
17,937,0,2908,20.5053,2,-0.3,-22.3,-29.9,-29.9,6,9,1.76,0,11.25,116,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.32,0.00,5,0.00,0.00,0,41,3,3,0,0,0.00,0,0,Off,Off,31,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.79,0.00,-8,0,0,0,-9,2,0,0,0,19,0,0,0,0,0,67,43,1,1,0,0,0,0,0,14.20,32.0,20.4929,20.3189,20.3997,20.4804,0,0.00,0,0,0.00,.0000,0.00,0.0,22.8,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
18,984,0,2906,20.5053,2,-0.2,-22.3,-29.9,-29.9,6,9,1.74,0,10.85,112,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.28,0.00,5,0.00,0.00,0,41,3,3,0,0,0.00,0,0,Off,Off,31,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.76,0.00,-7,0,0,0,-8,2,0,0,0,26,0,0,0,0,0,67,43,1,1,0,0,0,0,0,14.20,32.0,20.4618,20.4059,20.3872,20.4929,0,0.00,0,0,0.00,.0000,0.00,0.0,22.8,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
19,1031,0,2901,20.5053,2,-0.1,-22.4,-29.9,-29.9,6,8,1.74,0,10.76,111,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.30,0.00,5,0.00,0.00,0,41,3,3,0,0,0.00,0,0,Off,Off,31,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.70,0.00,-7,0,0,0,-8,2,0,0,0,11,0,0,0,0,0,67,44,1,1,0,0,0,0,0,14.20,32.0,20.5737,20.4121,20.3997,20.5053,0,0.00,0,0,0.00,.0000,0.00,0.0,22.8,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
