Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\3000 rpm tap.csv
Number of frames 501
Length: 0:00:24.297s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
10,469,0,767,.0000,1,0.1,-21.8,-29.9,-29.9,0,2,1.07,0,2.00,78,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,2.18,0.00,1,0.00,0.00,0,4,0,0,0,0,0.00,0,0,Off,Off,10,Off,0,-29.9,14.56,0.00,14.56,0.00,10.00,14.32,0.00,15,-1,0,0,14,2,0,0,0,3,0,0,0,0,0,90,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
11,516,0,766,.0000,1,0.0,-21.8,-29.9,-29.9,0,2,1.07,0,1.97,77,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,2.17,0.00,1,0.00,0.00,0,4,0,0,0,0,0.00,0,0,Off,Off,10,Off,0,-29.9,14.58,0.00,14.58,0.00,10.00,14.32,0.00,15,-1,0,0,14,2,0,0,0,6,0,0,0,0,0,90,76,0,0,0,0,0,0,0,14.20,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
12,703,0,751,.0000,1,0.0,-21.7,-29.9,-29.9,0,2,1.09,0,2.13,85,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,2.21,0.00,1,0.00,0.00,0,7,0,0,0,0,0.00,0,0,Off,Off,10,Off,0,-29.9,14.56,0.00,14.56,0.00,10.00,14.32,0.00,15,-1,0,0,14,2,0,0,0,5,0,0,0,0,0,90,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
13,750,0,754,.0000,1,0.0,-21.8,-29.9,-29.9,0,2,1.09,0,2.16,85,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,2.22,0.00,1,0.00,0.00,0,7,0,0,0,0,0.00,0,0,Off,Off,10,Off,0,-29.9,14.56,0.00,14.56,0.00,10.00,14.32,0.00,15,-1,0,0,14,2,0,0,0,2,0,0,0,0,0,90,76,0,0,0,0,0,0,0,14.20,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
14,797,0,762,.0000,1,0.1,-21.8,-29.9,-29.9,0,2,1.07,0,1.95,76,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,2.18,0.00,1,0.00,0.00,0,5,0,0,0,0,0.00,0,0,Off,Off,10,Off,0,-29.9,14.56,0.00,14.56,0.00,10.00,14.32,0.00,15,-1,0,0,14,2,0,0,0,2,0,0,0,0,0,90,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
15,844,0,761,.0000,1,0.0,-21.8,-29.9,-29.9,0,2,1.07,0,1.95,76,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,2.18,0.00,1,0.00,0.00,0,5,0,0,0,0,0.00,0,0,Off,Off,10,Off,0,-29.9,14.56,0.00,14.56,0.00,10.00,14.32,0.00,15,-1,0,0,14,2,0,0,0,4,0,0,0,0,0,90,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
16,891,0,748,.0000,1,-0.1,-21.7,-29.9,-29.9,0,2,1.07,0,1.95,78,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,2.22,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,10,Off,0,-29.9,14.56,0.00,14.56,0.00,10.00,14.32,0.00,15,-1,0,0,14,2,0,0,0,5,0,0,0,0,0,90,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
17,938,0,743,.0000,1,-0.2,-21.7,-29.9,-29.9,0,2,1.09,0,2.13,86,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,2.23,0.00,1,0.00,0.00,0,9,0,0,0,0,0.00,0,0,Off,Off,10,Off,0,-29.9,14.56,0.00,14.56,0.00,10.00,14.32,0.00,15,-1,0,0,14,2,0,0,0,2,0,0,0,0,0,90,75,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
18,985,0,745,.0000,1,-0.1,-21.7,-29.9,-29.9,6,2,1.09,0,2.16,86,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,2.23,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,10,Off,0,-29.9,14.53,0.00,14.53,0.00,10.00,14.32,0.00,15,-1,0,0,14,2,0,0,0,10,0,0,0,0,0,90,75,0,0,0,0,0,0,0,14.20,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
19,1032,0,754,.0000,1,0.1,-20.9,-29.9,-29.9,29,9,1.15,0,2.50,99,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,2.22,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,10,Off,0,-29.9,14.56,0.00,14.56,0.00,10.00,14.26,0.00,15,-1,0,0,14,2,0,0,0,2,0,0,0,0,0,90,72,0,0,0,0,0,0,0,14.20,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
