Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\3rd Gear Pull 2.csv
Number of frames 698
Length: 0:00:33.281s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
0,0,0,2816,27.9618,3,0.0,-24.6,-29.9,-29.9,0,6,1.46,0,6.08,64,0,0,87.8,32.0,185.0,80.6,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,22,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,69,52,1,1,0,0,0,0,0,14.20,32.0,27.8810,27.7132,27.6138,27.6573,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,0.445,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
1,47,0,2800,27.9618,3,0.0,-24.6,-29.9,-29.9,0,5,1.45,0,5.96,63,0,0,87.8,32.0,185.0,80.6,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,22,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,69,52,1,1,0,0,0,0,0,14.20,32.0,27.6387,27.5330,27.6822,27.5268,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,0.445,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
2,109,0,2778,27.9618,3,0.0,-24.5,-29.9,-29.9,0,5,1.45,0,5.96,64,0,0,87.8,32.0,185.0,80.6,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,21,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,69,52,1,1,0,0,0,0,0,14.20,32.0,27.4088,27.3404,27.3093,27.4212,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,0.445,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
3,156,0,2772,27.9618,3,0.0,-24.6,-29.9,-29.9,0,5,1.45,0,5.84,63,0,0,87.8,32.0,185.0,80.6,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,21,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,69,52,1,1,0,0,0,0,0,14.20,32.0,27.4771,27.1291,27.3155,27.3715,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,0.445,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
4,203,0,2761,27.3404,3,0.0,-24.6,-29.9,-29.9,0,5,1.45,0,5.78,62,0,0,87.8,32.0,185.0,80.6,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,21,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,0,0,0,0,4,0,0,0,21,0,0,0,0,0,69,52,1,1,0,0,0,0,0,14.20,32.0,27.3218,27.1478,27.4833,27.1353,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,0.445,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
5,250,0,2753,27.3404,3,0.0,-24.6,-29.9,-29.9,0,5,1.43,0,5.71,62,0,0,87.8,32.0,185.0,80.6,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,21,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,69,52,1,1,0,0,0,0,0,14.20,32.0,27.0981,27.0359,27.0297,26.9800,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,0.445,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
6,297,0,2742,27.3404,3,0.0,-24.5,-29.9,-29.9,0,5,1.43,0,5.71,62,0,0,87.8,32.0,185.0,80.6,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,21,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,69,52,1,1,0,0,0,0,0,14.20,32.0,26.9738,26.7004,26.9489,27.0049,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,0.445,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
7,344,0,2716,27.3404,3,0.0,-24.5,-29.9,-29.9,0,5,1.43,0,5.71,63,0,0,87.8,32.0,185.0,80.6,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,20,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,69,53,1,1,0,0,0,0,0,14.20,32.0,26.8122,26.7066,26.8557,26.6507,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,0.445,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
8,391,0,2703,26.7190,3,0.0,-24.5,-29.9,-29.9,0,5,1.43,0,5.71,63,0,0,87.8,32.0,185.0,80.6,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,20,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,0,0,0,0,4,0,0,0,25,0,0,0,0,0,69,53,1,1,0,0,0,0,0,14.20,32.0,26.5823,26.5637,26.5948,26.5699,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,0.445,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
9,438,0,2694,26.7190,3,0.0,-24.5,-29.9,-29.9,0,5,1.43,0,5.71,63,0,0,87.8,32.0,185.0,80.6,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,20,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,69,53,1,1,0,0,0,0,0,14.20,32.0,26.4953,26.3586,26.3524,26.4083,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,0.445,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
