Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\3rd Gear Pull 1.csv
Number of frames 59
Length: 0:00:02.860s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
0,0,0,827,45.9816,6,0.0,-20.6,-29.9,-29.9,0,3,1.13,0,2.42,87,0,0,87.8,32.0,185.0,77.0,0.0,0.00,32.0,2.07,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,6,Off,0,-29.9,14.02,0.00,14.02,0.00,10.00,14.64,0.00,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,56,73,1,1,0,0,0,0,0,14.10,32.0,45.4907,45.2670,45.3975,45.2546,0,0.00,0,0,0.00,.0000,0.00,0.0,199.5,0.258,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
1,47,0,829,45.9816,6,0.0,-20.6,-29.9,-29.9,0,3,1.13,0,2.42,87,0,0,87.8,32.0,185.0,77.0,0.0,0.00,32.0,2.05,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,6,Off,0,-29.9,14.16,0.00,14.16,0.00,10.00,14.64,0.00,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,56,73,1,1,0,0,0,0,0,14.10,32.0,45.3726,45.0433,45.1054,45.2111,0,0.00,0,0,0.00,.0000,0.00,0.0,199.5,0.258,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
2,94,0,805,45.9816,6,0.0,-20.6,-29.9,-29.9,0,3,1.17,0,2.77,103,0,0,87.8,32.0,185.0,77.0,0.0,0.00,32.0,2.17,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,6,Off,0,-29.9,14.18,0.00,14.18,0.00,10.00,14.64,0.00,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,56,72,1,1,0,0,0,0,0,14.10,32.0,45.4037,45.2049,45.3602,45.1552,0,0.00,0,0,0.00,.0000,0.00,0.0,208.1,0.258,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
3,141,0,787,45.9816,6,0.0,-20.5,-29.9,-29.9,0,3,1.21,0,3.01,114,0,0,87.8,32.0,185.0,77.0,0.0,0.00,32.0,2.43,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,6,Off,0,-29.9,14.23,0.00,14.23,0.00,10.00,14.64,0.00,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,56,72,1,1,0,0,0,0,0,14.10,32.0,45.2049,44.7637,44.7575,45.2359,0,0.00,0,0,0.00,.0000,0.00,0.0,208.1,0.258,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
4,188,0,764,45.9816,6,0.0,-20.4,-29.9,-29.9,0,3,1.19,0,2.85,111,0,0,87.8,32.0,185.0,77.0,0.0,0.00,32.0,2.49,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,6,Off,0,-29.9,14.21,0.00,14.21,0.00,10.00,14.64,0.00,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,56,71,1,1,0,0,0,0,0,14.10,32.0,45.1489,45.0433,44.8755,45.0371,0,0.00,0,0,0.00,.0000,0.00,0.0,208.1,0.258,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
5,235,0,750,45.9816,6,0.0,-20.3,-29.9,-29.9,0,3,1.19,0,2.85,114,0,0,87.8,32.0,185.0,77.0,0.0,0.00,32.0,2.44,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,6,Off,0,-29.9,14.23,0.00,14.23,0.00,10.00,14.64,0.00,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,56,71,1,1,0,0,0,0,0,14.10,32.0,45.0868,44.6767,44.6643,44.9563,0,0.00,0,0,0.00,.0000,0.00,0.0,208.1,0.258,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
6,282,0,740,45.3602,6,0.0,-20.3,-29.9,-29.9,0,3,1.17,0,2.73,110,0,0,87.8,32.0,185.0,77.0,0.0,0.00,32.0,2.49,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,6,Off,0,-29.9,14.21,0.00,14.21,0.00,10.00,14.64,0.00,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,56,71,1,1,0,0,0,0,0,14.20,32.0,44.9998,44.8942,44.7451,44.9066,0,0.00,0,0,0.00,.0000,0.00,0.0,208.1,0.258,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
7,329,0,750,45.3602,6,0.0,-20.2,-29.9,-29.9,0,3,1.15,0,2.58,103,0,0,87.8,32.0,185.0,77.0,0.0,0.00,32.0,2.29,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,6,Off,0,-29.9,14.23,0.00,14.23,0.00,10.00,14.64,0.00,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,56,71,1,1,0,0,0,0,0,14.10,32.0,45.0433,44.7388,44.7140,44.7761,0,0.00,0,0,0.00,.0000,0.00,0.0,208.1,0.258,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
8,375,0,782,45.3602,6,0.0,-20.2,-29.9,-29.9,0,3,1.17,0,2.66,102,0,0,87.8,32.0,185.0,77.0,0.0,0.00,32.0,2.30,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,6,Off,0,-29.9,14.23,0.00,14.23,0.00,10.00,14.64,0.00,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,56,71,1,1,0,0,0,0,0,14.00,32.0,44.8942,44.6767,44.6456,44.6953,0,0.00,0,0,0.00,.0000,0.00,0.0,208.1,0.258,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
9,422,0,786,45.3602,6,0.0,-20.2,-29.9,-29.9,0,3,1.19,0,2.81,107,0,0,87.8,32.0,185.0,77.0,0.0,0.00,32.0,2.38,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,6,Off,0,-29.9,14.23,0.00,14.23,0.00,10.00,14.64,0.00,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,56,71,1,1,0,0,0,0,0,14.10,32.0,44.8942,44.5773,44.4406,44.7140,0,0.00,0,0,0.00,.0000,0.00,0.0,208.1,0.258,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
