Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\4th Gear Pull 2.csv
Number of frames 669
Length: 0:00:32.547s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
10,484,0,3435,45.3602,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,7.03,61,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,21,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,44.9874,44.6332,44.6146,44.8445,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
11,625,0,3416,45.3602,4,0.0,-24.6,-29.9,-29.9,0,6,1.50,0,6.72,59,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,25,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,44.8072,44.5462,44.8072,44.4779,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
12,672,0,3410,45.3602,4,0.0,-24.6,-29.9,-29.9,0,6,1.48,0,6.49,57,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,30,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,44.7513,44.1734,44.3598,44.4282,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
13,734,0,3407,45.3602,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,6.95,61,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,23,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.20,32.0,44.6643,44.3163,44.5400,44.3225,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
14,781,0,3402,45.3602,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,6.95,61,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,16,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,44.5897,44.0367,44.3101,44.3225,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
15,828,0,3398,45.3602,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,7.12,62,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,19,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.20,32.0,44.5586,44.2045,44.6456,44.2852,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
16,875,0,3393,45.3602,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,6.95,61,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,51,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.20,32.0,44.4468,43.9621,44.1050,44.0988,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
17,922,0,3386,44.7388,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,6.87,60,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,18,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,44.3163,44.0367,44.2107,44.1796,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
18,969,0,3378,44.7388,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,7.03,62,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,25,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.20,32.0,44.3039,43.8503,44.1299,43.9062,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
19,1031,0,3367,44.7388,4,0.0,-24.6,-29.9,-29.9,0,6,1.54,0,7.20,64,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,31,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.20,32.0,44.1175,43.7695,44.1175,43.9248,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
