Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\stock tune idle.csv
Number of frames 925
Length: 0:00:46.187s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
20,1219,0,757,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.11,0,2.22,87,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.21,0.00,1,0.00,0.00,0,6,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,1,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
21,1265,0,762,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.09,0,2.00,78,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.19,0.00,1,0.00,0.00,0,5,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
22,1312,0,757,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.13,0,2.26,89,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.19,0.00,1,0.00,0.00,0,6,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,6,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.00,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
23,1375,0,754,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.13,0,2.26,89,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.20,0.00,1,0.00,0.00,0,7,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
24,1422,0,747,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.09,0,2.00,80,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.22,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,2,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
25,1469,0,747,.0000,1,0.0,-21.6,-29.9,-29.9,0,3,1.09,0,2.06,82,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.23,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.00,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
26,1531,0,757,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.13,0,2.26,89,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.20,0.00,1,0.00,0.00,0,6,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.76,0.00,14.76,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,4,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
27,1578,0,755,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.11,0,2.19,87,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.20,0.00,1,0.00,0.00,0,6,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
28,1625,0,747,.0000,1,0.0,-21.6,-29.9,-29.9,0,3,1.07,0,1.96,78,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.23,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,11,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
29,1687,0,747,.0000,1,0.0,-21.6,-29.9,-29.9,0,3,1.13,0,2.26,90,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.24,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,5,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.00,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
30,1719,0,753,.0000,1,0.0,-21.6,-29.9,-29.9,0,3,1.11,0,2.19,87,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.21,0.00,1,0.00,0.00,0,7,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
31,1797,0,766,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.09,0,2.09,81,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.18,0.00,1,0.00,0.00,0,4,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,2,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.00,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
32,1844,0,769,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.13,0,2.26,88,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.16,0.00,1,0.00,0.00,0,3,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.76,0.00,14.76,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
33,1890,0,758,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.11,0,2.13,84,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.19,0.00,1,0.00,0.00,0,6,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.76,0.00,14.76,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,2,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
34,1937,0,754,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.07,0,1.96,77,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.20,0.00,1,0.00,0.00,0,7,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,7,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
35,1984,0,745,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.11,0,2.13,85,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.24,0.00,1,0.00,0.00,0,9,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.76,0.00,14.76,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.00,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
36,2047,0,747,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.13,0,2.26,90,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.23,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.76,0.00,14.76,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,2,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.013,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
37,2094,0,749,.0000,1,0.0,-21.6,-29.9,-29.9,0,3,1.11,0,2.13,85,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.22,0.00,1,0.00,0.00,0,8,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.76,0.00,14.76,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,12,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.014,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
38,2140,0,760,.0000,1,0.0,-21.7,-29.9,-29.9,0,3,1.07,0,1.96,77,0,0,125.6,32.0,201.2,186.8,0.0,0.00,32.0,2.19,0.00,1,0.00,0.00,0,5,0,0,0,0,0.00,0,0,Off,Off,5,Off,0,-29.9,14.76,0.00,14.76,0.00,10.00,14.64,0.00,16,0,0,0,16,2,0,0,0,3,0,0,0,0,0,55,76,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.014,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
