Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\4th Gear Pull 1.csv
Number of frames 401
Length: 0:00:19.328s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
0,0,0,3038,40.3892,4,-0.6,-19.7,-29.9,-29.9,11,11,1.97,0,16.07,158,0,0,84.2,32.0,183.2,96.8,0.0,0.00,32.0,2.98,0.00,7,0.00,0.00,0,44,8,9,0,0,0.00,0,0,Off,Off,67,Off,0,-29.9,14.45,0.00,14.45,0.00,10.00,14.69,0.00,-7,0,0,0,-8,2,0,0,0,15,0,0,0,0,0,67,37,1,1,0,0,0,0,0,14.20,32.0,39.6746,39.5504,39.2335,39.4634,0,0.00,0,0,0.00,.0000,0.00,0.0,32.9,0.880,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
1,47,0,3030,40.3892,4,0.0,-19.8,-29.9,-29.9,11,11,1.95,0,15.70,155,0,0,84.2,32.0,183.2,96.8,0.0,0.00,32.0,2.95,0.00,7,0.00,0.00,0,44,8,9,0,0,0.00,0,0,Off,Off,67,Off,0,-29.9,14.48,0.00,14.48,0.00,10.00,14.74,0.00,-8,0,0,0,-9,2,0,0,0,20,0,0,0,0,0,67,38,1,1,0,0,0,0,0,14.20,32.0,39.5939,39.5317,39.3577,39.4758,0,0.00,0,0,0.00,.0000,0.00,0.0,32.9,0.880,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
2,94,0,3030,39.7679,4,-0.4,-19.7,-29.9,-29.9,11,11,1.95,0,15.70,155,0,0,84.2,32.0,183.2,96.8,0.0,0.00,32.0,2.97,0.00,7,0.00,0.00,0,44,8,9,0,0,0.00,0,0,Off,Off,67,Off,0,-29.9,14.53,0.00,14.53,0.00,10.00,14.71,0.00,-8,0,0,0,-9,2,0,0,0,24,0,0,0,0,0,67,37,1,1,0,0,0,0,0,14.20,32.0,39.6746,39.5007,39.2956,39.5131,0,0.00,0,0,0.00,.0000,0.00,0.0,32.7,0.881,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
3,140,0,3037,40.3892,4,-0.2,-19.8,-29.9,-29.9,11,11,1.95,0,15.82,156,0,0,84.2,32.0,183.2,96.8,0.0,0.00,32.0,2.97,0.00,7,0.00,0.00,0,44,8,9,0,0,0.00,0,0,Off,Off,67,Off,0,-29.9,14.61,0.00,14.61,0.00,10.00,14.71,0.00,-8,0,0,0,-9,2,0,0,0,44,0,0,0,0,0,67,38,1,1,0,0,0,0,0,14.20,32.0,39.6622,39.6187,39.4199,39.4075,0,0.00,0,0,0.00,.0000,0.00,0.0,32.7,0.881,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
4,187,0,3033,40.3892,4,-0.2,-19.8,-29.9,-29.9,12,11,1.97,0,15.95,157,0,0,84.2,32.0,183.2,96.8,0.0,0.00,32.0,3.01,0.00,7,0.00,0.00,0,44,8,9,0,0,0.00,0,0,Off,Off,67,Off,0,-29.9,14.66,0.00,14.66,0.00,10.00,14.67,0.00,-8,0,0,0,-9,2,0,0,0,17,0,0,0,0,0,67,38,1,1,0,0,0,0,0,14.20,32.0,39.6933,39.3764,39.6933,39.4199,0,0.00,0,0,0.00,.0000,0.00,0.0,32.7,0.881,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
5,234,0,3029,40.3892,4,-0.6,-19.5,-29.9,-29.9,16,11,1.97,0,15.95,157,0,0,84.2,32.0,183.2,96.8,0.0,0.00,32.0,3.00,0.00,7,0.00,0.00,0,44,8,10,0,0,0.00,0,0,Off,Off,69,Off,0,-29.9,14.68,0.00,14.68,0.00,10.00,14.67,0.00,-7,0,0,0,-8,2,0,0,0,23,0,0,0,0,0,67,37,1,1,0,0,0,0,0,14.20,32.0,39.6374,39.5939,39.3329,39.4075,0,0.00,0,0,0.00,.0000,0.00,0.0,32.7,0.881,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
6,281,0,3026,40.3892,4,0.0,-16.5,-29.9,-29.9,38,16,2.07,0,18.50,183,0,0,84.2,32.0,183.2,96.8,0.0,0.00,32.0,2.99,0.00,7,0.00,0.00,0,44,8,11,0,0,0.00,0,0,Off,Off,71,Off,0,-29.9,14.68,0.00,14.68,0.00,10.00,14.65,0.00,-7,0,0,0,-8,2,0,0,0,17,0,0,0,0,0,67,32,1,1,0,0,0,0,0,14.20,32.0,39.6187,39.3640,39.6125,39.4634,0,0.00,0,0,0.00,.0000,0.00,0.0,32.7,0.881,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
7,344,0,3036,40.3892,4,-0.4,-13.6,-29.9,-29.9,70,18,2.40,0,30.50,301,0,0,84.2,32.0,183.2,96.8,0.0,0.00,32.0,4.43,0.00,11,0.00,0.00,0,40,9,13,0,0,0.00,0,0,Off,Off,71,Off,0,-29.9,14.63,0.00,14.63,0.00,10.00,14.65,0.00,-7,0,0,0,-8,2,0,0,0,42,0,0,0,0,0,67,25,1,1,0,0,0,0,0,14.20,32.0,39.7616,39.6249,39.3205,39.4385,0,0.00,0,0,0.00,.0000,0.00,0.0,32.7,0.881,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
8,390,0,3080,40.3892,4,-0.5,-10.0,-29.9,-29.9,91,21,2.52,0,35.62,346,0,0,84.2,32.0,183.2,95.0,0.0,0.00,32.0,5.91,0.00,15,0.00,0.00,0,24,10,14,0,0,0.00,0,0,Off,Off,74,Off,0,-29.9,14.84,0.00,14.84,0.00,10.00,14.65,0.00,-7,0,0,0,-8,2,0,0,0,26,0,0,0,0,0,67,18,1,1,0,0,0,0,0,14.20,32.0,39.8486,39.7306,39.5007,39.4758,0,0.00,0,0,0.00,.0000,0.00,0.0,32.7,0.881,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
9,437,0,3069,41.0106,4,-0.3,-4.9,-29.9,-29.9,96,28,2.77,0,50.14,490,0,0,84.2,32.0,183.2,95.0,0.0,0.00,32.0,7.77,0.00,19,0.00,0.00,0,19,12,16,0,0,0.00,0,0,Off,Off,74,Off,0,-29.9,15.73,0.00,15.73,0.00,10.00,14.48,0.00,-7,0,0,0,-8,2,0,0,0,28,0,0,0,0,0,67,8,1,1,0,0,0,0,0,14.20,32.0,39.9978,39.9543,39.5877,39.6436,0,0.00,0,0,0.00,.0000,0.00,0.0,32.7,0.881,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
